date,open,high,low,close,volume,prior_252_high,breakout_close_ge,vol_sma20,volume_ok,atr14_sma,atr14_wilder,nifty_close,market_ok,labs_buy_signal
2023-08-21,1417.6,1417.6,1397.0,1404.6,39644.0,1487.0,0,59228.85,0,22.68214285714287,23.961745996938145,16852.1,True,0
2023-08-22,1410.0,1410.0,1397.75,1401.65,13996.0,1487.0,0,57754.8,0,22.225000000000005,23.125192711442562,16905.2,True,0
2023-08-23,1401.65,1426.65,1387.8,1421.55,162685.0,1487.0,0,60970.65,1,23.507142857142867,24.248393232053818,16950.2,True,0
2023-08-24,1422.95,1424.0,1407.0,1411.45,59709.0,1487.0,0,57808.95,1,22.407142857142862,23.730650858335686,16930.2,True,0
2023-08-25,1410.0,1425.0,1397.1,1420.4,46656.0,1485.0,0,56176.85,0,23.41785714285715,24.028461511311715,16820.8,True,0
2023-08-28,1420.75,1448.0,1410.0,1412.75,90350.0,1485.0,0,57867.95,1,24.97857142857143,25.02642854621802,16875.3,True,0
2023-08-29,1419.85,1431.7,1411.0,1413.5,27644.0,1485.0,0,56530.85,0,25.489285714285725,24.717397935773878,16927.3,True,0
2023-08-30,1415.05,1420.9,1405.0,1414.15,24202.0,1485.0,0,55196.95,0,23.26785714285716,24.087583797504323,16968.9,True,0
2023-08-31,1414.95,1446.25,1414.95,1429.5,166401.0,1485.0,0,60456.45,1,23.91785714285715,24.65989924053972,16924.3,True,0
2023-09-01,1420.0,1468.0,1416.5,1438.3,114833.0,1484.95,0,62210.25,1,25.721428571428582,26.57704929478688,17074.6,True,0
2023-09-04,1447.95,1474.0,1421.1,1426.1,88766.0,1477.55,0,65984.35,1,27.178571428571445,28.457260059444966,17180.9,True,0
2023-09-05,1430.0,1461.25,1422.85,1457.5,78092.0,1476.65,0,67634.7,1,28.94285714285716,29.167455769484615,17252.1,True,0
2023-09-06,1463.9,1464.75,1443.0,1446.9,32865.0,1474.0,0,66997.3,0,29.264285714285734,28.637637500235712,17284.6,True,0
2023-09-07,1435.0,1468.0,1435.0,1444.25,104757.0,1474.0,0,67339.45,1,30.06071428571431,28.949234821647448,17385.5,True,0
2023-09-08,1425.2,1465.65,1425.2,1461.5,79063.0,1474.0,0,68984.15,1,31.478571428571463,29.77071804867263,17487.4,True,0
2023-09-11,1465.0,1480.85,1454.1,1460.45,79087.0,1474.0,0,68318.4,1,32.51428571428575,29.55495247376744,17653.3,True,0
2023-09-12,1466.1,1480.55,1439.0,1461.75,59029.0,1480.85,0,67742.15,0,32.70714285714288,30.41174158278405,17460.6,True,0
2023-09-13,1465.95,1552.0,1455.4,1544.05,335670.0,1480.85,1,83427.3,1,38.39285714285716,35.1394743268709,17526.8,True,1
