trade_number,direction,entry_dt,entry_price,entry_qty,exit_dt,exit_price,exit_qty,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,entry_signal,duration_bars
1,LONG,2026-04-16,1065.0,96.74261583420274,2026-08-24,2374.0,96.74261583420274,126636.08412697139,322.12843043757414,0.0,126313.95569653381,1.2291079812206571,BACKTEST_END_LIQUIDATION,BuySignal,
2,LONG,2025-06-02,930.0,111.62901173744547,2025-07-28,861.4000000000001,111.62901173744547,-7657.750205188749,183.20031879494883,0.0,-7840.950523983697,-0.07376344086021491,atr_trail,BuySignal,
3,LONG,2025-03-21,875.55,121.52236080780459,2025-04-07,664.3,121.52236080780459,-25671.59872064872,167.6221738414772,0.0,-25839.220894490198,-0.24127691165553078,atr_trail,BuySignal,
4,LONG,2024-07-10,650.45,162.41657734435722,2024-10-07,698.1785714285713,162.41657734435722,7751.911212964226,201.50849660257973,0.0,7550.4027163616465,0.07337777143296376,atr_trail,BuySignal,
5,LONG,2024-01-02,574.9,185.11359776740747,2024-02-13,533.8821428571429,185.11359776740747,-7592.963108423833,186.4831200299565,0.0,-7779.446228453789,-0.0713478120418457,atr_trail,BuySignal,
6,LONG,2023-11-10,481.7,220.09061575328118,2023-12-20,500.9642857142858,220.09061575328118,4239.888504904298,198.31102363438177,0.0,4041.5774812699165,0.039992289213796495,atr_trail,BuySignal,
7,LONG,2023-07-11,309.8,331.1848985925344,2023-10-23,413.64285714285717,331.1848985925344,34391.18611241619,225.50586853246185,0.0,34165.680243883726,0.3351932122106429,atr_trail,BuySignal,
8,LONG,2022-09-06,256.6,401.39916507035525,2022-10-12,247.15000000000003,401.39916507035525,-3793.2221099148524,186.2196209451451,0.0,-3979.4417308599973,-0.03682774746687445,atr_trail,BuySignal,
9,LONG,2022-04-07,198.95,522.5130740414189,2022-05-10,181.02142857142854,522.5130740414189,-9367.912970314019,181.5902645569542,0.0,-9549.503234870974,-0.09011596596416915,atr_trail,BuySignal,
10,LONG,2022-01-18,196.5,534.5502997078854,2022-01-21,176.5392857142857,534.5502997078854,-10670.005803812042,181.572316779921,0.0,-10851.578120591963,-0.10158124318429662,atr_trail,BuySignal,
11,LONG,2021-04-05,148.5,714.6416362876354,2021-04-19,133.57142857142856,714.6416362876354,-10668.57871315114,182.91224799266277,0.0,-10851.490961143803,-0.10052910052910069,atr_trail,BuySignal,
12,LONG,2020-01-10,160.5,648.7420083359261,2020-02-25,191.67499999999998,648.7420083359261,20224.532109872485,212.62560189560782,0.0,20011.906507976877,0.19423676012461044,atr_trail,BuySignal,
13,LONG,2018-01-15,173.95,602.5718371380306,2018-01-31,162.7357142857143,602.5718371380306,-6757.412745047902,185.3745773947134,0.0,-6942.787322442615,-0.06446844331293877,atr_trail,BuySignal,
14,LONG,2017-10-30,147.7,713.9197433440684,2017-11-13,139.15714285714284,713.9197433440684,-6098.914378853614,186.835838731099,0.0,-6285.750217584713,-0.057839249443853435,atr_trail,BuySignal,
15,LONG,2017-08-31,137.7,771.0006080975498,2017-09-22,128.59285714285716,771.0006080975498,-7021.612680888382,186.76375024865567,0.0,-7208.376431137038,-0.06613756613756594,atr_trail,BuySignal,
16,LONG,2017-06-13,100.5,1039.3826181655202,2017-08-10,117.14285714285712,1039.3826181655202,17298.296430897568,209.99033691925075,0.0,17088.306093978317,0.16560056858564298,atr_trail,BuySignal,
17,LONG,2015-06-29,101.0,1010.4353903931288,2015-08-13,125.00357142857143,1010.4353903931288,24254.05806725793,214.27110797033126,0.0,24039.786959287598,0.2376591230551628,atr_trail,BuySignal,
18,LONG,2014-03-12,72.4,1381.2154696132595,2014-06-16,87.42142857142858,1381.2154696132595,20747.82951854775,208.08522148776638,0.0,20539.744297059984,0.20747829518547745,atr_trail,BuySignal,
