time,open,high,low,close,Volume,STR-001 Signal,Breakout,Volume OK,Market OK,Close,Prior 252 High,Volume,Volume SMA20,ATR14
2000-11-28,28.57142857,28.57142857,28.57142857,28.57142857,14577.5,0,0,1,1,28.57142857,,14577.5,8383.76,2.623907040714284
2000-11-29,28.57142857,28.57142857,28.57142857,28.57142857,11696.3,0,0,1,1,28.57142857,,11696.3,8966.86,2.623907040714284
2000-11-30,28.57142857,32.65305857,28.57142857,28.57142857,25796.4,0,0,1,1,28.57142857,,25796.4,10256.54,2.9154520407142845
2000-12-01,28.57142857,28.57142857,28.57142857,28.57142857,14875.7,0,0,1,1,28.57142857,,14875.7,10998.61,2.9154520407142845
2000-12-04,30.61224571,30.61224571,28.57142857,28.57142857,22687,0,0,1,1,28.57142857,,22687,12084.94,2.915452039999998
2000-12-05,30.61224571,30.61224571,28.57142857,28.57142857,20561.1,0,0,1,1,28.57142857,,20561.1,13095.845,2.9154521421428554
2000-12-06,30.61224571,30.61224571,28.57142857,28.57142857,34808.9,0,0,1,1,28.57142857,,34808.9,14822.570000000002,2.915452244285713
2000-12-07,28.57142857,30.61224571,28.57142857,28.57142857,25722.9,0,0,1,1,28.57142857,,25722.9,16105.285,2.623907039999999
2000-12-08,28.57142857,28.57142857,26.53061143,28.57142857,20699,0,0,1,1,28.57142857,,20699,17105.935,2.332361835714284
2001-02-15,36.73469286,36.73469286,36.73469286,36.73469286,110.6,0,0,0,1,36.73469286,,110.6,17102.890000000003,2.6239068364285703
2001-02-20,36.73469286,36.73469286,36.73469286,36.73469286,10290,0,0,0,1,36.73469286,,10290,17564.225,2.332361632142856
2001-07-18,22.44897857,22.44897857,22.44897857,22.44897857,171.5,0,0,0,0,22.44897857,,171.5,17401.3,3.0612245914285703
2001-10-17,22.44897857,22.44897857,22.44897857,22.44897857,34.3,0,0,0,0,22.44897857,,34.3,16960.545000000002,2.769679387142856
2001-10-22,24.48979571,24.48979571,24.48979571,24.48979571,68.6,0,0,0,0,24.48979571,,68.6,16039.590000000002,2.769679387142856
2001-10-25,16.32653,16.32653,16.32653,16.32653,1200.5,0,0,0,1,16.32653,,1200.5,15200.990000000002,3.352769794999998
2001-10-29,18.36734571,20.40816286,18.36734571,20.40816286,171.5,0,0,0,1,20.40816286,,171.5,14456.680000000002,3.6443149992857125
2001-11-01,26.53061143,26.53061143,26.53061143,26.53061143,343,0,0,0,1,26.53061143,,343,13802.040000000003,3.7900877542857123
2001-11-07,22.44897857,22.44897857,22.44897857,22.44897857,171.5,0,0,0,1,22.44897857,,171.5,12620.895,4.0816329585714275
2001-11-26,26.53061143,26.53061143,26.53061143,26.53061143,102.9,0,0,0,1,26.53061143,,102.9,11513.005000000001,4.227405509999998
2001-11-27,28.57142857,32.65305857,28.57142857,30.61224571,1179.5,0,0,0,1,30.61224571,,1179.5,10263.435000000001,4.518950509999998
2001-11-28,34.69387571,34.69387571,34.69387571,34.69387571,2709.7,0,0,0,1,34.69387571,,2709.7,9670.045000000002,4.664722857142855
2001-11-29,32.65305857,34.69387571,32.65305857,34.69387571,994.7,0,0,0,1,34.69387571,,994.7,9134.965,4.664722857142855
2001-12-03,36.73469286,36.73469286,36.73469286,36.73469286,377.3,0,0,0,1,36.73469286,,377.3,7864.01,4.664722857857141
2001-12-04,38.77551,38.77551,36.73469286,36.73469286,2778.3,0,0,0,1,36.73469286,,2778.3,7259.139999999999,4.227405204285712
2001-12-05,34.69387571,34.69387571,34.69387571,34.69387571,343,0,0,0,1,34.69387571,,343,6141.9400000000005,4.373177857857141
2001-12-06,36.73469286,36.73469286,32.65305857,32.65305857,274.4,0,0,0,1,32.65305857,,274.4,5127.6050000000005,3.644315000714283
2001-12-07,34.69387571,34.69387571,30.61224571,32.65305857,291.2,0,0,0,1,32.65305857,,291.2,3401.7200000000003,3.935860000714283
2001-12-10,34.69387571,34.69387571,34.69387571,34.69387571,34.3,0,0,0,1,34.69387571,,34.3,2117.290000000002,3.935860000714283
2001-12-13,32.65305857,32.65305857,30.61224571,30.61224571,788.9,0,0,0,1,30.61224571,,788.9,1121.7850000000012,3.6443145928571417
2001-12-14,32.65305857,32.65305857,28.57142857,28.57142857,240.1,0,0,0,1,28.57142857,,240.1,1128.2600000000007,3.6443143885714266
2001-12-24,20.40816286,20.40816286,20.40816286,20.40816286,686,0,0,1,1,20.40816286,,686,648.0599999999994,3.7900870414285697
2001-12-31,26.53061143,28.57142857,26.53061143,28.57142857,35416.5,0,0,1,1,28.57142857,,35416.5,2410.309999999998,4.081632244999999
2002-01-01,28.57142857,28.57142857,26.53061143,26.53061143,47829.6,0,0,1,1,26.53061143,,47829.6,4800.074999999999,3.9358596935714267
2002-01-02,28.57142857,28.57142857,26.53061143,28.57142857,32258.1,0,0,1,1,28.57142857,,32258.1,6409.549999999997,3.6443146935714266
2002-01-03,28.57142857,28.57142857,26.53061143,28.57142857,35096.6,0,0,1,1,28.57142857,,35096.6,8104.354999999999,3.498542346428569
2002-01-04,28.57142857,28.57142857,28.57142857,28.57142857,39167.1,0,0,1,1,28.57142857,,39167.1,10054.134999999998,3.352769693571426
2002-01-07,28.57142857,30.61224571,28.57142857,28.57142857,34785.8,0,0,1,1,28.57142857,,34785.8,11776.275,3.3527696928571404
2002-01-08,28.57142857,28.57142857,26.53061143,26.53061143,46853.8,0,0,1,1,26.53061143,,46853.8,14110.390000000003,3.3527696928571404
2002-01-09,28.57142857,28.57142857,26.53061143,26.53061143,37425.5,0,0,1,1,26.53061143,,37425.5,15976.52,3.3527696921428545
2002-01-10,28.57142857,28.57142857,26.53061143,26.53061143,28867.3,0,0,1,1,26.53061143,,28867.3,17360.91,3.206997038571426
2002-01-11,28.57142857,28.57142857,26.53061143,26.53061143,35163.1,0,0,1,1,26.53061143,,35163.1,18983.579999999998,3.0612246914285683
2002-01-14,28.57142857,30.61224571,28.57142857,30.61224571,50985.9,0,0,1,1,30.61224571,,50985.9,21483.14,3.2069973442857114
2002-01-15,32.65305857,32.65305857,28.57142857,28.57142857,38389.4,0,0,1,1,28.57142857,,38389.4,23383.745,3.2069973442857114
2002-01-16,30.61224571,30.61224571,28.57142857,30.61224571,47201.7,0,0,1,1,30.61224571,,47201.7,25604.915,3.0612249971428542
